,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,96,1.0,0.898,0.472,1.0,-7.001,1.0,0.0776,0.0107,0.0,0.141,0.214,101.061
1,94,1.0,0.936,0.887,9.0,-2.76,0.0,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003
2,91,1.0,0.882,0.764,11.0,-5.241,1.0,0.204,0.359,0.0,0.119,0.886,140.113
3,90,0.0,0.681,0.714,1.0,-4.617,0.0,0.0309,0.0375,0.0,0.232,0.554,129.976
4,89,0.0,0.788,0.936,9.0,-6.294,1.0,0.301,0.0229,1.3e-06,0.311,0.844,151.019
5,88,1.0,0.64,0.552,2.0,-5.679,1.0,0.129,0.0215,0.0,0.119,0.112,144.941
6,87,1.0,0.594,0.811,1.0,-5.746,1.0,0.159,0.189,0.0,0.339,0.311,148.144
7,87,1.0,0.638,0.717,8.0,-5.804,1.0,0.0375,0.001,1.79e-06,0.113,0.422,141.904
8,88,1.0,0.831,0.643,1.0,-5.002,1.0,0.11,0.046,0.0,0.084,0.142,139.948
9,87,1.0,0.625,0.733,2.0,-8.757,1.0,0.0488,0.00598,0.000983,0.375,0.244,172.09
10,86,1.0,0.943,0.558,2.0,-4.911,1.0,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983
11,86,0.0,0.673,0.95,11.0,-5.149,1.0,0.0488,0.0229,0.0823,0.398,0.563,150.019
12,86,1.0,0.847,0.622,1.0,-6.747,0.0,0.0903,0.119,0.0,0.285,0.22,130.001
13,88,1.0,0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
14,86,0.0,0.58,0.777,3.0,-5.69,1.0,0.0655,0.104,0.0,0.342,0.589,108.005
15,85,0.0,0.634,0.761,5.0,-4.752,1.0,0.0472,0.00537,0.0,0.549,0.785,129.963
16,85,1.0,0.866,0.741,7.0,-4.66,1.0,0.245,0.0933,0.0,0.0297,0.614,135.07
17,84,1.0,0.88,0.428,9.0,-8.28,1.0,0.206,0.149,5.05e-05,0.114,0.333,100.007
18,84,1.0,0.679,0.825,0.0,-5.487,1.0,0.0309,0.0212,1.21e-05,0.543,0.644,118.049
19,84,0.0,0.611,0.757,6.0,-3.546,1.0,0.03,0.00257,0.0,0.058,0.279,126.963
20,84,0.0,0.634,0.824,2.0,-3.394,0.0,0.047,0.0908,0.0711,0.119,0.371,137.959
21,84,1.0,0.681,0.773,1.0,-4.706,1.0,0.0345,0.0863,0.734,0.0978,0.504,129.923
22,83,1.0,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971
23,85,0.0,0.602,0.91,7.0,-3.404,1.0,0.0308,0.00126,0.000174,0.12,0.228,127.944
24,83,0.0,0.874,0.869,1.0,-5.996,0.0,0.0315,0.00116,0.00238,0.164,0.726,126.027
25,83,0.0,0.755,0.86,5.0,-4.811,0.0,0.0523,0.0144,7.47e-06,0.344,0.618,128.004
26,82,1.0,0.808,0.745,10.0,-5.26,0.0,0.342,0.145,0.0,0.292,0.829,165.995
27,82,1.0,0.598,0.696,2.0,-4.789,1.0,0.112,0.0153,0.0,0.219,0.209,91.057
